시구분,충전량,충전시간,미사용시간,총충전횟수,충전횟수순위,충전소수,전기차등록대수
강원도,26.92,1.94,0.53,42571,11.0,3377,8652
경기도,24.64,3.16,1.04,186966,16.0,23717,45891
경상남도,26.05,2.39,0.77,52588,12.0,5707,14371
경상북도,26.92,2.37,0.95,40389,10.0,5921,12318
광주광역시,27.49,2.65,0.73,17907,3.0,3176,6015
대구광역시,27.01,3.2,1.16,58638,14.0,6170,17584
대전광역시,27.22,2.68,0.73,35752,7.0,2670,8595
부산광역시,25.06,2.21,0.77,36862,9.0,5224,15330
서울특별시,24.25,2.58,0.86,137278,15.0,17076,43206
세종특별자치시,26.12,3.76,1.25,17104,2.0,999,2069
울산광역시,24.95,1.87,0.55,9250,1.0,1708,3789
인천광역시,25.98,2.91,0.89,54996,13.0,3984,14134
전라남도,27.29,2.02,0.69,33950,6.0,3555,9978
전라북도,26.44,2.99,1.04,25581,4.0,3387,8404
충청남도,27.01,2.69,0.86,27812,5.0,4305,11532
충청북도,27.26,2.71,0.79,36093,8.0,3092,9683
