"차종별(1)","차종별(2)",연료별(1),연료별(2),2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01,2020. 02,2020. 03,2020. 04,2020. 05,2020. 06,2020. 07,2020. 08,2020. 09,2020. 10,2020. 11,2020. 12,2021. 01,2021. 02,2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12
"계","소계",계,소계,3091903,3093930,3095613,3099256,3103357,3107935,3112120,3113550,3115764,3116066,3117713,3116256,3118469,3118125,3116691,3119463,3119696,3120469,3121497,3121532,3123924,3123896,3123702,3124651,3128420,3128962,3127236,3124289,3121807,3120332,3121140,3120892,3121687,3121416,3122433,3124157,3127566,3123984,3125333,3128523,3133353,3141710,3147149,3148071,3151842,3153732,3157278,3157361,3159552,3158102,3158710,3159075,3160629,3162985,3171767,3171749,3175142,3173961,3177236,3176743
"계","소계",계,휘발유,1600398,1600615,1601053,1602253,1602947,1604293,1604828,1603910,1603786,1603340,1602690,1600270,1601123,1600109,1598796,1599229,1597782,1595974,1594638,1593411,1594017,1593813,1593077,1592471,1593540,1594206,1595412,1597621,1598156,1597613,1598576,1600201,1602080,1603599,1606142,1607915,1609709,1609120,1611341,1614843,1619511,1625652,1629961,1629747,1630627,1631060,1633187,1634867,1636281,1635844,1636698,1638511,1639303,1640427,1645752,1645085,1646093,1645282,1646122,1646141
"계","소계",계,경유,1112698,1115138,1116960,1119341,1122534,1124890,1128072,1130553,1132284,1132942,1134664,1135239,1136859,1137717,1138015,1140225,1141609,1143719,1145341,1146526,1147831,1147408,1146518,1147787,1150483,1150211,1146551,1140532,1136392,1134320,1133237,1131662,1130033,1127517,1124489,1121920,1122681,1119056,1117351,1115743,1114455,1113853,1113145,1113047,1113713,1113106,1111941,1108287,1107835,1106027,1103183,1099842,1098086,1096347,1097562,1095411,1093923,1090545,1088003,1084741
"계","소계",계,LPG,316770,315472,313836,312680,311467,310323,308885,307377,305954,304636,303259,301546,299911,298511,296712,295616,294251,292854,291694,290234,289155,287623,286123,284328,282789,281701,280707,279713,278696,277855,276747,275550,274648,273628,272686,271977,271250,270098,268770,267668,266755,265931,264958,263747,262437,261280,260065,258444,257262,256291,255058,253828,252577,251488,250361,248869,247928,246873,245825,245041
"계","소계",계,전기,1589,1649,1692,1714,1932,2327,2678,2894,3530,3908,4279,4797,4851,4911,5036,5184,5545,6177,6942,7480,8105,8619,9329,9564,9571,9647,9934,10175,10613,11082,11764,12050,12389,12711,13726,14952,15353,16438,17172,17622,18098,19411,20003,20997,22118,22676,23052,23393,23441,23381,24918,25581,27013,28752,29325,31220,33434,35067,38840,40564
"계","소계",계,CNG,9839,9834,9839,9833,9822,9810,9793,9781,9769,9731,9735,9731,9722,9711,9703,9695,9686,9679,9673,9663,9663,9652,9649,9635,9627,9628,9617,9607,9595,9587,9572,9563,9551,9534,9524,9441,9429,9449,9438,9417,9398,9377,9374,9359,9346,9333,9240,9114,9112,9100,9073,9057,9055,9047,9031,9020,9012,9008,8977,8887
"계","소계",계,하이브리드,45818,46413,47370,48524,49693,51254,52734,53855,55209,56263,57843,59431,60735,61886,63096,64114,65360,66570,67682,68688,69574,71149,73321,75178,76718,77829,79229,80799,82495,84021,85363,85978,86940,88214,89529,91505,92676,93330,94706,96197,98042,100340,102510,103877,106223,108610,111978,115280,117578,119382,121605,123833,125997,128223,130930,133203,135667,137938,140097,141889
"계","소계",계,기타,4779,4796,4850,4898,4949,5025,5117,5167,5219,5233,5230,5229,5255,5267,5309,5371,5431,5464,5494,5495,5544,5571,5606,5604,5610,5635,5655,5699,5714,5708,5735,5742,5777,5808,5823,5848,5865,5894,5932,5984,6016,6051,6086,6145,6194,6236,6270,6305,6324,6379,6478,6536,6584,6664,6753,6832,6888,6963,6989,7035
"계","소계",계,수소,12,13,13,13,13,13,13,13,13,13,13,13,13,13,24,29,32,32,33,35,35,61,79,84,82,105,131,143,146,146,146,146,269,405,514,599,603,599,623,1049,1078,1095,1112,1152,1184,1431,1545,1671,1719,1698,1697,1887,2014,2037,2053,2109,2197,2285,2383,2445
"계","승용차",계,소계,2607254,2610151,2612587,2616911,2621670,2627009,2632029,2634497,2638236,2639313,2641475,2641190,2644378,2644519,2644328,2647749,2649060,2650174,2651766,2652378,2654828,2655989,2656846,2658637,2662379,2663636,2663430,2662378,2661549,2660664,2662543,2663566,2665342,2666195,2668175,2670803,2673913,2671522,2673192,2677243,2682910,2691874,2698140,2699801,2703429,2705842,2710427,2711984,2714483,2714083,2715453,2717185,2719601,2722462,2731730,2732495,2736668,2736546,2739979,2740044
"계","승용차",계,휘발유,1597542,1597770,1598200,1599408,1600101,1601447,1601980,1601075,1600949,1600496,1599843,1597418,1598270,1597252,1595950,1596382,1594924,1593121,1591767,1590528,1591142,1590925,1590179,1589567,1590654,1591333,1592543,1594756,1595300,1594758,1595720,1597340,1599215,1600739,1603241,1604962,1606680,1606066,1608262,1611725,1616349,1622460,1626729,1626495,1627368,1627759,1629809,1631306,1632668,1632226,1633040,1634823,1635565,1636698,1641955,1641258,1642211,1641336,1642173,1642186
"계","승용차",계,경유,701899,704704,706721,709298,712558,715204,718554,721424,724068,725101,726864,728314,730381,731221,732262,734743,736762,738616,740434,741716,742723,742971,742690,744280,746540,746705,744168,739748,736941,735110,734677,734030,733133,731425,729247,727757,728277,725825,724607,723966,723477,723307,723330,723810,724163,724273,724201,722122,722093,721183,719443,717677,716694,715532,717344,715975,715306,713082,710906,708501
"계","승용차",계,LPG,259331,258546,257532,256905,256343,255760,255080,254267,253506,252589,251694,250286,249212,248328,247057,246408,245567,244802,244061,243112,242436,241459,240457,239192,238047,237260,236685,236031,235355,234870,234221,233387,232776,232105,231458,231089,230620,229730,228557,227664,227005,226450,225671,224728,223700,222711,221656,220302,219142,218382,217340,216355,215460,214568,213698,212462,211728,210852,209953,209333
"계","승용차",계,전기,1575,1635,1678,1697,1915,2309,2658,2873,3510,3880,4258,4775,4827,4887,5012,5160,5520,6151,6916,7453,8078,8592,9290,9507,9514,9589,9876,10113,10539,11007,11688,11973,12310,12626,13510,14232,14410,15327,15800,16010,16346,17621,18198,19160,20215,20489,20690,20763,20737,20667,21793,22084,23347,24884,25242,26990,29069,30567,33999,35227
"계","승용차",계,CNG,666,663,669,666,655,643,637,629,629,622,614,617,608,605,608,600,589,589,592,587,589,583,594,597,597,595,585,580,572,568,556,545,536,524,520,510,507,507,500,495,484,477,470,462,460,457,439,435,441,441,432,430,432,428,418,410,404,401,387,384
"계","승용차",계,하이브리드,45766,46361,47318,48472,49641,51202,52682,53803,55157,56211,57791,59379,60683,61834,63044,64062,65308,66518,67630,68636,69522,71097,73269,75126,76666,77777,79177,80747,82443,83969,85311,85926,86888,88162,89477,91453,92624,93278,94654,96145,97990,100288,102458,103825,106171,108558,111926,115228,117526,119330,121552,123777,125941,128168,130875,133147,135609,137881,140040,141832
"계","승용차",계,기타,463,459,456,452,444,431,425,413,404,401,398,388,384,379,371,365,358,345,333,311,303,301,289,285,280,273,266,261,254,237,225,219,215,211,210,203,194,192,191,191,183,178,174,171,170,169,166,166,166,165,165,161,157,156,154,153,153,151,147,145
"계","승용차",계,수소,12,13,13,13,13,13,13,13,13,13,13,13,13,13,24,29,32,32,33,35,35,61,78,83,81,104,130,142,145,145,145,146,269,403,512,597,601,597,621,1047,1076,1093,1110,1150,1182,1426,1540,1662,1710,1689,1688,1878,2005,2028,2044,2100,2188,2276,2374,2436
"계","승합차",계,소계,133792,133258,132674,132080,131538,130959,130384,129771,129093,128602,128068,127564,126975,126373,125586,125031,124311,123883,123482,123073,122692,122014,121338,120780,120461,119995,119108,118322,117713,117705,116932,116450,116144,115519,114942,114310,114005,113364,112657,111968,111330,110589,109845,109050,108205,107701,107116,106504,106065,105571,104813,104101,103662,103178,102687,102172,101720,101314,100885,100403
"계","승합차",계,휘발유,1201,1185,1177,1164,1157,1146,1135,1120,1114,1108,1097,1099,1103,1094,1084,1077,1069,1063,1058,1067,1056,1057,1058,1059,1044,1040,1032,1029,1030,1022,1015,1007,1003,997,1000,1002,1010,1003,998,1002,996,993,989,994,993,991,998,1087,1100,1096,1097,1113,1166,1137,1174,1151,1138,1179,1157,1135
"계","승합차",계,경유,100183,99948,99690,99387,99176,98875,98673,98442,98111,97790,97476,97003,96690,96406,95933,95588,95109,95072,94832,94635,94404,93956,93477,93190,93063,92699,91973,91315,90835,90966,90411,90099,89895,89407,88942,88472,88277,87712,87014,86331,85791,85195,84485,83838,83133,82666,82138,81554,81090,80682,80041,79392,79053,78627,78173,77771,77436,77070,76745,76372
"계","승합차",계,LPG,22837,22544,22207,21919,21596,21306,20937,20547,20206,20053,19841,19810,19516,19213,18891,18651,18403,18003,17842,17605,17444,17197,16982,16699,16516,16394,16221,16092,15959,15826,15601,15434,15317,15159,15035,14864,14735,14640,14644,14616,14526,14388,14353,14199,14056,14019,13952,13838,13853,13763,13636,13563,13421,13382,13306,13213,13117,13040,12941,12872
"계","승합차",계,전기,10,10,10,10,10,10,10,10,10,11,2,2,2,2,2,2,3,3,3,3,3,3,15,33,33,33,33,33,33,33,33,33,33,34,43,127,134,135,138,142,142,153,155,168,184,195,267,382,388,390,390,395,395,404,405,405,405,408,438,524
"계","승합차",계,CNG,8711,8710,8708,8705,8705,8706,8695,8693,8686,8657,8672,8664,8666,8660,8653,8656,8658,8653,8648,8647,8646,8648,8634,8621,8620,8627,8631,8629,8629,8624,8624,8626,8623,8619,8615,8529,8520,8517,8514,8512,8509,8495,8492,8480,8463,8451,8377,8262,8255,8250,8250,8248,8247,8246,8244,8243,8243,8239,8222,8134
"계","승합차",계,하이브리드,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
"계","승합차",계,기타,798,809,830,843,842,864,882,907,914,931,928,934,946,946,971,1005,1017,1037,1047,1064,1087,1101,1119,1125,1132,1149,1165,1171,1174,1181,1195,1199,1221,1249,1253,1262,1275,1303,1295,1311,1312,1311,1317,1317,1322,1322,1327,1320,1318,1329,1338,1329,1319,1321,1324,1328,1320,1317,1321,1305
"계","승합차",계,수소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,-,-,2,2,2,2,2,2,2,2,2,2,2,2,5,5,9,9,9,9,9,9,9,9,9,9,9,9,9
"계","화물차",계,소계,343626,343282,343082,342963,342772,342549,342268,341818,340956,340652,340644,339921,339460,339600,339126,338983,338607,338568,338381,338178,338495,337962,337550,337241,337576,337306,336656,335500,334458,333872,333556,332733,332071,331548,331147,330840,331369,330752,331096,330856,330616,330618,330449,330501,331429,331371,330851,329943,330038,329400,329319,328589,328049,327888,327781,327451,327058,326376,326576,326425
"계","화물차",계,휘발유,1637,1643,1659,1664,1672,1682,1695,1697,1705,1718,1732,1735,1733,1746,1745,1753,1772,1772,1795,1798,1801,1813,1822,1827,1824,1816,1820,1819,1809,1816,1824,1837,1844,1845,1883,1933,2001,2034,2064,2099,2149,2182,2226,2241,2249,2293,2362,2456,2495,2505,2544,2557,2554,2575,2605,2658,2725,2748,2772,2798
"계","화물차",계,경유,303592,303459,303498,303574,303649,303622,303636,303452,302858,302782,303030,302573,302364,302691,302404,302427,302251,302421,302440,302507,303032,302783,302618,302557,303107,303011,302593,301604,300755,300379,300266,299618,299099,298754,298352,297709,298071,297401,297573,297235,296947,297004,296923,297010,298008,297750,297142,296124,296143,295593,295074,294097,293576,293326,293108,292696,292173,291397,291306,290800
"계","화물차",계,LPG,34516,34296,34011,33769,33442,33173,32784,32479,32158,31911,31641,31366,31100,30887,30682,30475,30200,29966,29709,29435,29191,28885,28604,28357,28148,27968,27720,27509,27301,27080,26846,26648,26476,26284,26113,25942,25814,25644,25485,25303,25139,25001,24839,24724,24585,24448,24355,24201,24163,24040,23982,23810,23594,23435,23254,23090,22978,22874,22822,22718
"계","화물차",계,전기,4,4,4,7,7,8,10,11,10,17,18,19,21,21,21,21,21,22,22,23,23,23,23,23,23,24,24,28,40,41,42,43,45,50,172,592,808,975,1233,1469,1609,1636,1647,1662,1704,1972,2075,2228,2296,2304,2715,3082,3251,3444,3657,3804,3937,4067,4378,4787
"계","화물차",계,CNG,459,458,459,459,459,458,458,456,451,449,446,447,445,443,439,436,436,434,430,426,425,418,418,414,407,403,398,395,391,392,389,389,389,388,387,400,400,423,422,408,403,403,410,415,421,423,422,416,415,408,390,378,375,372,368,366,364,367,367,368
"계","화물차",계,하이브리드,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,4,4,3,3,4,6,5,5,5
"계","화물차",계,기타,3418,3422,3451,3490,3543,3606,3685,3723,3774,3775,3777,3781,3797,3812,3835,3871,3927,3953,3985,3989,4023,4040,4065,4063,4067,4084,4101,4145,4162,4164,4189,4198,4218,4227,4240,4264,4275,4275,4319,4342,4369,4392,4404,4449,4462,4485,4495,4518,4526,4550,4613,4661,4695,4733,4786,4833,4875,4918,4926,4949
"계","화물차",계,수소,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"계","특수차",계,소계,7231,7239,7270,7302,7377,7418,7439,7464,7479,7499,7526,7581,7656,7633,7651,7700,7718,7844,7868,7903,7909,7931,7968,7993,8004,8025,8042,8089,8087,8091,8109,8143,8130,8154,8169,8204,8279,8346,8388,8456,8497,8629,8715,8719,8779,8818,8884,8930,8966,9048,9125,9200,9317,9457,9569,9631,9696,9725,9796,9871
"계","특수차",계,휘발유,18,17,17,17,17,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,18,18,18,18,18,17,17,17,17,17,17,17,17,17,18,18,18,17,17,18,18,17,18,18,19,19,20,22
