충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
가평환경성질환 예방관리센터,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 축령로 289-126,경기도 가평군 상면 행현리 922-15번지,환경부(한국자동차환경협회),1661-9408,37.769612,127.332988,2022-06-14
북면 행정복지센터,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 가평군 북면 가화로 1030-39,경기도 가평군 북면 목동리 913-4번지 지상 주차장,에스트래픽,031-601-3500,37.885827,127.550252,2022-06-14
가평지사,외부 주차장,경기도,연중무휴,06:00,23:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 가화로 169-11,경기도 가평군 가평읍 읍내리 631-1번지,한국전력,1899-2100,37.834176,127.510664,2022-06-14
한국국토정보공사(가평지사),외부 주차장,경기도,연중무휴,09:00,12:00,N,Y,AC완속,1,,N,경기도 가평군 가평읍 석봉로 158,경기도 가평군 가평읍 읍내리 487-5번지 한국국토정보공사 가평지사,대영채비,1522-2573,37.829361,127.511332,2022-06-14
가평휴게소(춘천방향),외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 가평군 설악면 미사리로540번길 51,"경기도 가평군 설악면 미사리 149-4번지 가평휴게소 , SK 가평주유소(춘천방향) 옆",환경부(한국자동차환경협회),1661-9408,37.704361,127.547157,2022-06-14
가평휴게소(서울방향),외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 가평군 설악면 미사리로 544,"경기도 가평군 설악면 미사리 145-3번지 가평휴게소 , SK 가평주유소(서울방향) 옆",환경부(한국자동차환경협회),1661-9408,37.704723,127.547238,2022-06-14
가평읍사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 가화로 62,경기도 가평군 가평읍 읍내리 366번지,한국전기차충전서비스,1522-1782,37.825688,127.516335,2022-06-14
가평군청,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 석봉로 181,경기도 가평군 가평읍 읍내리 513번지 정면 우측 주차장,환경부(한국자동차환경협회),1661-9408,37.831231,127.509782,2022-06-14
청평면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 청평면 은고개로 23,경기도 가평군 청평면 청평리 333-1번지,환경부(한국자동차환경협회),1661-9408,37.740375,127.424363,2022-06-14
설악면사무소 후문,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1번지,한국전기차충전서비스,1522-1782,37.676048,127.494573,2022-06-14
에덴스포츠타운,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 청평면 상천리 258,경기도 가평군 청평면 상천리 258,한국전기차충전서비스,1522-1782,37.825688,127.516335,2022-06-14
설악면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 한서로 8,경기도 가평군 설악면 신천리 156-1번지 지상주차장,한국전력,1899-2100,37.676041,127.494515,2022-06-14
조종면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 조종면 조종내길 71,경기도 가평군 조종면 현리 567-7번지 지상주차장,한국전력,1899-2100,37.817687,127.353286,2022-06-14
에덴스포츠타운,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,AC완속,2,,N,경기도 가평군 청평면 경춘로 1458,경기도 가평군 청평면 상천리 258번지,한국전기차충전서비스,1522-1782,37.827788,127.516435,2022-06-14
국립 유명산자연휴양림,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 설악면 유명산길 79-53,경기도 가평군 설악면 가일리 산35번지,대영채비,1522-2573,37.593122,127.492126,2022-06-14
한국국토정보공사(가평지사),외부 주차장,경기도,연중무휴,09:00,12:00,N,Y,AC완속,2,,N,경기도 가평군 가평읍 석봉로 158,경기도 가평군 가평읍 읍내리 487-5번지 한국국토정보공사 가평지사,대영채비,1522-2573,37.829361,127.511332,2022-06-14
가평군 농업기술센터,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 가평읍 아랫마장길 59,경기도 가평군 가평읍 승안리 100번지 지상1층 주차장,지엔텔,1544-4279,37.846283,127.499655,2022-06-14
상면사무소,외부 주차장,경기도,연중무휴,12:00,12:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 가평군 상면 청군로 1105,경기도 가평군 상면 연하리 171-1번지 지상주차장,한국전력,1899-2100,37.825688,127.516335,2022-06-14
화정환승공영주차장,경기도 고양시 덕양구 화정로 63,경기도,연중무휴,00:00,24:00,Y,N,AC완속,1,0,N,경기도 고양시 덕양구 화신로260번길 71-2,경기도 고양시 덕양구 화정동 971번지,한국전기차충전서비스,1522-1782,37.634278,126.832524,2022-08-12
백석2공영주차장,경기도 고양시 일산동구 장백로15-7(일산동구 백석동 1315),경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 일산동구 장백로 15-7,경기도 고양시 일산동구 백석동 1315번지,한국전기차충전서비스,1522-1782,37.639374,126.789405,2022-08-12
성사2공영주차장,경기도 고양시 덕양구 성사동 721,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 덕양구 성사동 721,경기도 고양시 덕양구 성사동 721,한국전기차충전서비스,1522-1782,37.653326,126.838586,2022-08-12
원당환승주차장,경기도 고양시 덕양구 호국로790번길102,경기도,연중무휴,00:00,24:00,Y,Y,AC완속,1,1,N,경기도 고양시 덕양구 호국로790번길 102,경기도 고양시 덕양구 성사동 394번지,한국전기차충전서비스,1522-1782,37.653894,126.841676,2022-08-12
일산호수공원제2공영주차장,경기도 고양시 일산동구 호수로 731,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,1,N,경기도 고양시 일산동구 호수로 731,경기도 고양시 일산동구 장항동 906번지,한국전기차충전서비스,1522-1782,37.658501,126.764213,2022-08-12
장항제1공영주차장,경기도 고양시 일산동구 무궁화로 32-19,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+AC3상+DC콤보,0,2,N,경기도 고양시 일산동구 무궁화로 32-19,경기도 고양시 일산동구 장항동 777번지,한국전기차충전서비스,1522-1782,37.662529,126.769109,2022-08-12
장항제2공영주차장,경기도 고양시 일산동구 고봉로 32-35,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+DC콤보,0,2,N,경기도 고양시 일산동구 고봉로 32-35,경기도 고양시 일산동구 장항동 732번지,한국전기차충전서비스,1522-1782,37.664258,126.767417,2022-08-12
장항제4공영주차장,경기도 고양시 일산동구 무궁화로 20-28,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+DC콤보,0,2,N,경기도 고양시 일산동구 무궁화로 20-28,경기도 고양시 일산동구 장항동 758번지,한국전기차충전서비스,1522-1782,37.660865,126.767273,2022-08-12
주교1공영주차장,경기도 고양시 덕양구 고양대로 1330,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 덕양구 고양대로 1330,경기도 고양시 덕양구 주교동 206-1번지,한국전기차충전서비스,1522-1782,37.655138,126.831078,2022-08-12
킨텍스 공영주차장,경기도 고양시 일산서구 킨텍스로237-18,경기도,연중무휴,00:00,24:00,Y,Y,DC차데모+AC3상+DC콤보,2,1,N,경기도 고양시 일산서구 킨텍스로 237-18,경기도 고양시 일산서구 대화동 2600-4번지,한국전기차충전서비스,1522-1782,37.667762,126.747519,2022-08-12
풍동제1공영주차장,경기도 고양시 일산동구 풍동 1244,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 일산동구 풍동 1244,경기도 고양시 일산동구 풍동 1244,한국전기차충전서비스,1522-1782,37.673244,126.799694,2022-08-12
풍동제3공영주차장,경기도 고양시 일산동구 숲속마을로 14-7,경기도,연중무휴,00:00,24:00,N,Y,DC차데모+DC콤보,0,1,N,경기도 고양시 일산동구 숲속마을로 14-7,경기도 고양시 일산동구 풍동 1276번지,한국전기차충전서비스,1522-1782,37.667884,126.801007,2022-08-12
행신제9공영주차장,경기도 고양시 덕양구 소원로181번길 38,경기도,연중무휴,00:00,24:00,Y,N,AC완속,1,0,N,경기도 고양시 덕양구 소원로181번길 38,경기도 고양시 덕양구 행신동 805번지,차지비,1600-4047,37.614522,126.843441,2022-08-12
고양농수산물종합유통센터,"경기도 고양시 일산서구 대화로 362 (대화동, 농수산물유통센터)",경기도,연중무휴,00:00,24:00,Y,N,AC완속,1,0,N,경기도 고양시 일산서구 대화로 362,경기도 고양시 일산서구 대화동 2324번지,차지비,1600-4047,37.683563,126.748244,2022-08-12
